BROKERTITLE,count,median
compass,423,1250000.0
corcoran,318,1297500.0
douglas elliman,262,1225000.0
re/max,252,799000.0
keller williams,196,650000.0
brown harris stevens,157,1095000.0
sotheby's,115,2250000.0
exp,107,648998.0
coldwell banker,67,779000.0
winzone inc,64,724500.0
e  corp,58,768500.0
robert defalco inc,53,874900.0
serhant,50,2974999.5
sowae corp,37,314000.0
nobroker,31,550000.0
nest seekers  midtown,30,1324500.0
momentum real estate,24,913000.0
century homes,20,1039500.0
charles rutenberg inc,19,569000.0
bergen basin,17,799000.0
neuhaus inc,17,1599999.0
5 boro corp,16,1212500.0
b square,16,764000.0
ashford homes,16,654500.0
besmatch real estate,16,475000.0
trebach inc,16,1242000.0
voro,15,738280.0
garfield leslie j co inc,14,6995000.0
ditommaso real estate,14,739000.0
homes r us of ny inc,14,779350.0
elegran real estate and development,13,799000.0
real broker ny,13,715000.0
the agency,13,1575000.0
east coast realtors inc,13,458000.0
oxford property,12,1312500.0
keystone usa corp,12,749000.0
century 21 first,12,1114000.0
bhhs new york,12,1847000.0
ben bay co,11,1150000.0
fillmore real estate,11,729000.0
tom crimmins ltd,11,669000.0
exit first choice,11,1288000.0
chase global corp,11,914999.0
american homes,11,778000.0
top nest inc,10,579900.0
charles h greenthal property,10,449000.0
realhome services solutions,10,684400.0
ilite inc,10,719000.0
jamie connie real estate grp,10,605000.0
howard hanna rand,10,537000.0
century 21 amiable  ii inc,9,295000.0
bond new york columbus circle,9,699000.0
realty connect usa,9,725000.0
elite real estate  1,9,995000.0
signature premier,9,699000.0
chous  inc,8,299000.0
prime,8,939000.0
jm,8,589499.5
akcess24homes inc,8,812000.0
talk of the town c,8,1327000.0
exit all seasons,8,844450.0
r new york,8,2400000.0
exit top,8,1163444.0
magic of great neck inc,7,629000.0
qvtopservice,7,599999.0
fave inc,7,729999.0
century 21 achievers,7,735000.0
ben bay company of staten island,7,628000.0
prospes real estate corp,7,1250000.0
homefinders of si inc,7,615000.0
city connections,7,870000.0
cross country,7,428000.0
morris park,7,499999.0
redfin real estate,7,669000.0
sold by bart r e partners inc,7,389000.0
robert e hill inc,7,225000.0
benjamin since 1980,7,299000.0
berkshire hathaway,6,807499.5
weichert realtors evolution,6,744500.0
j sikar,6,414000.0
avenues headquarters,6,625000.0
pantiga  inc,6,262000.0
christie s int real estate,6,4172500.0
laffey real estate,6,390000.0
century 21 milestone,6,819000.0
brooklyn s 4 u,6,1447000.0
highline rential highline rential,6,639500.0
goldstone n y,6,278500.0
mitra hakimi,6,933000.0
nyc brokers,6,352000.0
e house mgt inc,6,705500.0
peter ashe real estate peter ashe real estate,6,8025000.0
new york minimax,6,1614999.5
hauseit hauseit,6,1633500.0
hometown,6,320000.0
nest seekers  long island,6,1087000.0
behfar team,6,1087500.0
nest seekers  tribeca,6,1627500.0
core  marketing,6,2994999.5
red door,5,549000.0
weichert realtors tmt,5,495000.0
j milo real estate,5,529000.0
realty executives today,5,659000.0
weichert realtors the franzese,5,1750000.0
spire  inc main office,5,550000.0
loho inc,5,565000.0
bright horizons inc,5,1199000.0
century 21 homefront,5,399000.0
trademarko inc,5,1090000.0
exit private client,5,509000.0
excellent,5,1990000.0
apple  corp,5,680000.0
nest seekers  west,5,3200000.0
korr,5,325000.0
pride estates,5,498000.0
east coast partners,5,379000.0
connie profaci,5,1200000.0
berkshire hathaway homeservices cangiano estates,5,769000.0
exit prime,5,699000.0
astor brokerage ltd,5,849999.0
island advantage,5,669900.0
tapestry real estate of queens,5,868000.0
han tang inc,4,874000.0
diamond real inc,4,1299499.5
kms  inc,4,848944.0
staten island premiere,4,1114943.5
home global,4,789500.0
o kane,4,424000.0
prestige homes ny inc,4,1049000.0
nexthome prestige,4,805000.0
piastro,4,542250.0
all area brokerage inc,4,195000.0
united,4,1915444.0
crifasi real estate inc,4,708500.0
new  inc,4,838500.0
mjr real estate,4,418000.0
tscherne inc,4,813000.0
katz,4,1125000.0
wonica realtors appraisers,4,734400.0
ben bay co of bay ridge,4,798944.0
joyce,4,494000.0
sovereign of ny inc,4,834000.0
rockaway,4,900000.0
block lot real estate svc,4,673944.0
fillmore real estate fusion team inc,4,604000.0
liberty chateau inc,4,497400.0
link ny,4,1537000.0
realty trends corp,4,1174000.0
carollo real estate inc,4,1169444.0
lombardo homes estates,4,1203888.0
today corp,4,899500.0
bedford brownstone,4,1034500.0
new concept sheiks inc,4,569495.0
gateway arms corp,4,617500.0
maximillion inc,4,592500.0
living ny main office,4,1872500.0
probase real estate,4,1012500.0
century 21 mk,4,899500.0
weichert,3,1125000.0
vylla home,3,261250.0
weichert realtors larchmont,3,499000.0
houlihan lawrence,3,149999.0
gillani homes inc,3,728000.0
jabour company,3,1450000.0
beaudoin  inc,3,625000.0
skylight real estate consultan,3,799999.0
brpi brooklyn real property,3,999000.0
budget real estate nyc inc,3,679000.0
affordable corp,3,189000.0
halvatzis inc,3,339000.0
first class enterprises,3,797777.0
real broker,3,425000.0
r jaundoo,3,187000.0
real new york lower east,3,589000.0
century 21 bay benjamin,3,375000.0
clas classic marketing,3,1465000.0
tiffany moves you inc,3,1275000.0
ritz ny corp,3,760000.0
brownstone real estate carroll gardens,3,3200000.0
century 21 kafcos,3,865000.0
century 21 professional,3,659000.0
reliable sell buy inc,3,689000.0
century 21 galvez,3,899999.0
soverign homes inc,3,450000.0
rise,3,799000.0
the bouklis  the bouklis  astoria,3,588000.0
brooklyn real property inc,3,720000.0
sbny re,3,240000.0
john edwards real estate inc,3,209000.0
landmark  r e,3,999000.0
pullini corp,3,618000.0
ozana,3,680000.0
p r o links inc,3,528000.0
queens quality management,3,358000.0
city,3,728000.0
daniel gale of brooklyn,3,1348000.0
promise,3,830000.0
prime  long island,3,299000.0
dom inc,3,1085000.0
mns,3,1695000.0
la rosa new york,3,949000.0
new york rential r e,3,298888.0
new heights,3,279000.0
continent,3,329000.0
get listed get sold nyc,3,1249000.0
matias real estate,3,674999.0
master  inc,3,1299800.0
es eva shammah,3,1690000.0
geo real estate  inc,3,799000.0
erealty advisors inc,3,1449000.0
engel v,3,1950000.0
excell choice,3,1439000.0
macaluso,3,590000.0
exit one,3,968000.0
nexthome all island,3,1300000.0
awaye,3,2100000.0
dreamlife new york,3,323000.0
tracey real estate,3,699000.0
yourhomesold guarantee,3,319000.0
atlantic  inc,3,1175000.0
anne anne weintraub,3,1950000.0
amerihomes of ny inc,3,265000.0
high class sb,3,569000.0
henry watts real estate corporation,3,750000.0
amorelli,3,899000.0
tdmt the development marketing team,3,595000.0
apaus inc,3,1300000.0
better homes and gardens real estate safari,3,1139000.0
bhhs fillmore r e,3,680000.0
utopia real estate,3,239900.0
taranto,3,674999.0
berkshire hathaway homeservices new york  eastchester,3,259000.0
united national,3,668888.0
tudor services corp tudor services corp,2,219500.0
ubiq,2,330000.0
stroffolino,2,1419500.0
stuyvesant heights corp,2,1995000.0
united real estate fortune,2,614999.5
unlimited homes inc,2,595000.0
best american homes inc,2,1082000.0
amerihomes,2,2191944.0
andrew lichtenstein inc,2,3925000.0
jadestone development,2,733950.0
jaymore,2,667500.0
higgins,2,882000.0
homedax real estate,2,399500.0
wilk real estate i,2,1944000.0
william raveis real estate rye,2,1018499.5
ww  inc,2,749000.0
ycl real estate consulting,2,398500.0
yoreevo,2,974500.0
top choice,2,606500.0
triolo  inc,2,949000.0
tru  corp,2,628500.0
truhomes,2,150000.0
ny empire real estate,2,581500.0
naomi klein realtor,2,372000.0
modern spaces love your place,2,1025000.0
modlin,2,1022500.0
monticello real estate,2,636500.0
motivated access corp,2,782000.0
myc  inc,2,3863500.0
exit achieve,2,832443.0
exit premier,2,849500.0
donna demkowicz r e corp,2,1589500.0
doreen greenwood inc,2,643500.0
dorsa,2,298500.0
ed bruno,2,757000.0
eden7 inc,2,729999.0
dwell rential,2,2472500.0
pamela lee realtor,2,1007500.0
park assets real estate corp,2,1264500.0
pin it,2,949500.0
nexthome platinum,2,640000.0
ny superior,2,1548000.0
next nextstopny,2,1206500.0
nexthome empire,2,1005000.0
e z sell,2,279000.0
elegran,2,795000.0
countrywide real estate inc,2,569000.0
crossings,2,182000.0
one manhattan real estate upper east  office,2,714000.0
nareema baksh real estate,2,857000.0
maureen folan r e,2,1208000.0
mak estates,2,1050000.0
midas,2,924500.0
martino,2,499949.5
getmore inc,2,544000.0
floral homes inc,2,697000.0
foxworth inc,2,289450.0
exit dkc,2,573750.0
ernest chi real estate,2,577000.0
etpg eastpointe,2,882500.0
modern spaces,2,1696500.0
miller miller real estate,2,242400.0
prime ny inc,2,3962500.0
cypress estates,2,1087495.0
de luca  inc,2,299999.0
citadel circle,2,832500.0
prodigy real estate inc,2,1209999.0
progress inc,2,594000.0
onespace,2,582000.0
opulence,2,724500.0
lavilla homes inc,2,1787000.0
legacy estate,2,796500.0
landair property advisors,2,4150000.0
h p greenfield real estate ltd,2,339000.0
habitat of new york inc,2,470000.0
hall homes inc,2,774000.0
harlem lofts inc harlem lofts inc,2,1097000.0
exit professionals,2,772000.0
level,2,560000.0
leven real estate head office,2,7900000.0
lions guard brokerage,2,1699499.5
listed new york elite inc,2,534999.5
logan inc,2,354000.0
jl capital real estate corp,2,1020000.0
radiant estates,2,662499.5
real estate top sales,2,465000.0
real estate executives,2,1249949.0
concrete jungle nyc,2,262499.5
classic home sales,2,749000.0
carina inc,2,2072500.0
canaan,2,1115000.0
century 21 metro star,2,654500.0
carozza nicholas m,2,763000.0
century 21 aa,2,1492000.0
real new york remote brooklyn,2,974500.0
premium choice corp,2,904500.0
realty connect usa l i inc,2,394500.0
realty executives metro garden,2,345000.0
precious  corp,2,592000.0
south,2,812450.0
rock inc,2,1650000.0
bold corp,2,1212000.0
brisman,2,584999.0
bkny troy avenue corp,2,399000.0
boroughs,2,314999.0
rjm empire inc,2,1025000.0
rock home  inc,2,250000.0
the bouklis  the bouklis,2,1149000.0
salmon,2,671000.0
sany,2,333500.0
showcase inc,2,372000.0
byson real estate company byson real estate company,2,1525000.0
brp  inc,2,837000.0
skylimit,2,958000.0
joachim,2,232499.5
joanne costa,2,2572500.0
jonarbri,2,417500.0
housebiz inc,2,945000.0
homemax inc,2,1038500.0
homesmart crossisland,2,937000.0
golden real corp,2,229000.0
great riches,2,477500.0
king zone inc,2,859000.0
julia shildkret real estate,2,1578500.0
ideal,2,1219000.0
ihome,2,975000.0
instahomes,2,829250.0
integrity core,2,774000.0
j shayovitz real estate corp,2,2700000.0
welhome inc,2,891500.0
accomplish,2,772500.0
all island estates corp,1,650000.0
a p services inc,1,2295000.0
aaa young shuen inc,1,1288000.0
abc real estate services inc,1,750000.0
acadia real estate grp,1,450000.0
accord homes,1,309000.0
accs access property,1,389000.0
acg ny,1,699000.0
ackerman vlada,1,550000.0
adamo real estate,1,229000.0
adcny corp,1,185000.0
agency real estate services,1,269000.0
ai brokerage,1,2000000.0
aida home,1,995000.0
alexander madison inc,1,369000.0
alexiou,1,1049000.0
atlantic apple,1,560000.0
avenue street inc,1,268000.0
berkshire hathaway homeservices new york  scarsdale,1,159000.0
berns agency,1,749000.0
the co op connection,1,410000.0
the greene,1,1600000.0
sungold corp,1,1000000.0
superior service,1,800000.0
suydam agency inc,1,928888.0
sweet key  inc,1,1630000.0
americas real estate advisors,1,400000.0
andron  tulip r e,1,888000.0
all american management,1,599888.0
best solutions inc,1,1150000.0
bh  manhattan headquarters,1,500000.0
bhuiyan,1,474000.0
big team,1,175000.0
bizzarro agency,1,105000.0
telemundo corp,1,1325000.0
the box advisory,1,625000.0
anne lopa real estate,1,2595000.0
annf ann ferguson,1,2150000.0
annkey inc,1,800000.0
anthony napolitano homes,1,399999.0
anthony t crews real estate,1,575000.0
apollo point,1,600000.0
scott dobrin,1,815156.0
scy team corp,1,1120000.0
sell your home ny inc,1,699000.0
the sidmar,1,675000.0
the turner  inc,1,1500000.0
toll brothers inc,1,1125000.0
tom marco real estate inc,1,595000.0
tony william r e brotherhood,1,199000.0
ka  inc,1,350000.0
kaloshi real estate inc,1,739000.0
halstead property 160 7th avenue,1,2550000.0
halstead real estate 770 lexington avenue,1,8750000.0
good way  corp,1,235000.0
gosen  inc,1,2649000.0
gotham  r e,1,200000.0
graceful,1,335000.0
infinity luxxe estates,1,550000.0
inspirou,1,1288000.0
kestin alice n,1,440000.0
key impact  inc,1,2280000.0
keyndoor,1,295000.0
kismet ny,1,450000.0
judy z etman realtor,1,429000.0
jws,1,245000.0
jacobson ltd,1,709999.0
inter,1,875000.0
isla island advantage,1,1299900.0
island  inc,1,799000.0
ivey north,1,1200000.0
izsa miriam izsak,1,625000.0
hudson  network inc,1,1500000.0
industrie rential,1,4895000.0
jane mosello real estate,1,279000.0
japhomes inc,1,529000.0
jason mitchell real estate new york,1,680000.0
jerry fink real estate inc,1,550000.0
jeskell,1,133000.0
j coco,1,345000.0
j home,1,687000.0
j milo real estate ltd,1,339000.0
josk,1,599999.0
jessica viola,1,499000.0
jnm  inc,1,650000.0
joe hasselt real estate,1,154900.0
john a maguire real estate ll,1,1875000.0
lj estates inc,1,725000.0
lj team inc,1,949000.0
ll real estate services,1,399000.0
hometime estates,1,988000.0
karl mohan,1,879000.0
karten real estate svcs,1,1448000.0
john savoretti,1,799000.0
johnson michael,1,489000.0
jortevsky real estate firm,1,685000.0
joseph baratta company,1,629000.0
joshuas,1,235000.0
houlihan lawrence bronxville,1,199900.0
houlihan lawrence commercial,1,510000.0
houlihan lawrence inc,1,790000.0
houlihan lawrence lagrangeville,1,560000.0
houlihan o malley r e serv,1,1599999.0
howard hanna coach realtors floral park,1,270000.0
homesmart homes and estates,1,849000.0
homesmart premier living rlty,1,949999.0
grand advisors,1,1190000.0
grandeur inc,1,1680000.0
great success inc,1,1800000.0
gilbert perez,1,345000.0
giner real estate inc,1,749000.0
gittens quick sale inc,1,215000.0
global center,1,2449000.0
golden doors corp,1,650000.0
kremer ii inc,1,650000.0
kus premier inc,1,345000.0
l i homes of distinction,1,649000.0
l rose inc,1,1900000.0
milgram brokerage,1,879000.0
milky forst  inc,1,3100000.0
mirador real estate,1,1049000.0
mcgrath inc,1,1389000.0
guru real estate services,1,599999.0
ha jones management,1,650000.0
halo,1,210000.0
listwithfreedom com inc,1,600000.0
lakeshore,1,859000.0
landmark,1,725000.0
landseair real estate,1,130000.0
landseair real estate  inc bronx little italy office,1,119888.0
exit team,1,1900000.0
extell marketing,1,2265000.0
ez premier,1,1002500.0
f g volpe servicing staten island,1,924800.0
hand in hand real estate,1,699900.0
harbor,1,3895000.0
hauseit,1,995000.0
hayliam,1,779000.0
llk homes inc,1,209000.0
local,1,155000.0
garden square,1,550000.0
fine choice inc,1,799000.0
first class homes inc,1,769000.0
first home equity,1,1899000.0
five towns miller inc,1,759000.0
flat rate of queens ltd,1,169000.0
migrate,1,1099000.0
marlin inc,1,2250000.0
martini real estate martini real estate,1,1325000.0
mattia inc,1,2749000.0
lopez team inc,1,119000.0
luxdeal,1,385000.0
m holmes corp,1,499000.0
manhattan network inc,1,479900.0
genstone,1,625000.0
gerard r desgranges,1,395000.0
get listed,1,1400000.0
gibbs yvonne,1,179000.0
four seasons team,1,1510000.0
foxr fox rential,1,620000.0
g g caleca,1,650000.0
gang jason a,1,270000.0
evergreen investments,1,31500000.0
empire fine homes,1,899000.0
empire home sales inc,1,969999.0
encore real estate,1,989000.0
engel volkers americas,1,375000.0
engel volkers brownstone brooklyn,1,215000.0
epic homes ny,1,1499999.0
epiphany,1,650000.0
mega homes inc,1,1095000.0
metro net,1,705000.0
metro real estate inc,1,719000.0
meyers enterprise,1,119000.0
michael a kaufman licensed real estate broker,1,1250000.0
exit central,1,2225000.0
era insite services,1,229000.0
eva real estate,1,550000.0
exit alliance,1,199000.0
mp power,1,167999.0
mq m q,1,3750000.0
my home advisors,1,1099000.0
myrta55 real estate myrta 55 real estate,1,539000.0
nardin elite  inc,1,449500.0
monopoly inc,1,1350000.0
mont sky real estate hudson,1,899000.0
dom of ny inc,1,925000.0
dove real estate corp,1,2100000.0
drop key,1,599000.0
exit home key,1,549990.0
exit limitless,1,2780000.0
exit premium,1,900000.0
exclusive  inc,1,179000.0
exit,1,369000.0
nella management,1,300000.0
neman yoska,1,149000.0
neponsit inc,1,699000.0
du chris,1,230000.0
du rite company,1,769000.0
duradox management,1,749999.0
dynamik real estate,1,3695000.0
dynasty real estate inc,1,699998.0
mark murphy,1,378888.0
nest seekers  southampton,1,299000.0
nest seekers bedford stuyvesant,1,370000.0
nest seekers westchester,1,925000.0
nestapple,1,620000.0
netter real estate inc,1,848724.0
nardoni inc,1,799000.0
native real estate native real estate,1,3850000.0
empire city,1,860000.0
e house of avenue u inc,1,850000.0
east point,1,940000.0
ebmg,1,219000.0
ny management,1,2499000.0
new york rence,1,12000000.0
new york way real estate corp,1,285000.0
new american corp,1,1375000.0
contact ii corp,1,288000.0
continental real estate,1,899000.0
continental real estate grp in,1,1649000.0
coordinate,1,1250000.0
elite home sales inc,1,1248000.0
elite of usa inc,1,989000.0
elite synergy inc,1,689000.0
elizabeth marra,1,750000.0
northshore,1,549000.0
ny home ventures,1,202000.0
desimone real estate,1,669000.0
deutsch,1,2350000.0
core family,1,965000.0
cross island one inc,1,1399000.0
cruz network cruse,1,549000.0
cruz network the bronx,1,749000.0
moorstone real estate,1,399999.0
nyc elite homes inc,1,650000.0
nyc empire inc,1,700000.0
official,1,8575000.0
olam,1,499000.0
one global corp,1,380000.0
nexthome rential,1,265000.0
north east queens corp,1,518000.0
property professionals,1,263000.0
prospect we inc,1,599000.0
ps 91 real estate,1,569000.0
pyramid home corp,1,499900.0
prince  grp,1,699900.0
private homes,1,269000.0
project queens,1,898888.0
classic homes and,1,1100000.0
panache co,1,649000.0
papa,1,498000.0
onekey mls foxworth inc,1,295500.0
onekey mls realmart,1,4680000.0
only nine,1,275000.0
ooakb f inc,1,395995.0
ortiz home selling team,1,279900.0
our community ltd,1,699000.0
papp,1,639000.0
park of queens inc,1,669000.0
parkchester bronx inc,1,215000.0
paulema  inc,1,2999950.0
peace of mind,1,750000.0
peerless  corp,1,950000.0
pemberley estates inc,1,1199000.0
owner entry com,1,749000.0
new home connections inc,1,1100000.0
new prospective inc,1,350000.0
new york 1 homes network inc,1,1325000.0
perfect  corp,1,599000.0
platinum  of long island,1,329000.0
platinum plus,1,355000.0
platinum star of grt ny,1,398000.0
platzner,1,165000.0
premier homes pros,1,499999.0
premier south shore,1,720000.0
premiere real estate  inc,1,479000.0
prereal prendamano real estate,1,3950000.0
realty central,1,1250000.0
realty executives lar,1,1249000.0
realty executives powerhouse,1,485000.0
realty network of n y corp,1,925000.0
daxi home management,1,928500.0
debtfreesolutions,1,529000.0
property professional,1,1149999.0
prime homes,1,425000.0
prime time real estate inc,1,725000.0
primerock real estate  inc,1,349000.0
plaza island,1,669000.0
ppad park property advisors,1,2250000.0
chris homes lands inc,1,799000.0
christie s  real estate new york,1,950000.0
diane ltd,1,529000.0
digs digs  email,1,779000.0
direct access real estate inc,1,768000.0
dnls real estate mgmt,1,349999.0
dolly lenz real estate,1,6500000.0
dawning real estate inc,1,699000.0
classic service inc,1,1250000.0
citi star,1,258000.0
citizens,1,975000.0
city advance inc,1,568000.0
city homes,1,1359000.0
city house inc,1,649000.0
charmed,1,1390000.0
chase real,1,715000.0
real estate property,1,350000.0
qwest property  inc,1,1525000.0
r a l enterprises,1,790000.0
r a s equity partners,1,634999.0
rad marketing corp,1,199900.0
raimondo ronald,1,1099000.0
royal house inc,1,588888.0
royal york inc,1,1680000.0
citywide deals,1,1899000.0
citywide homes,1,825000.0
claire,1,774888.0
clarke,1,570000.0
realmart,1,789000.0
realty by the park inc santana real estate,1,668000.0
rc house sales corp,1,875000.0
real estate authorities inc,1,499000.0
cana,1,1288000.0
capri jet corp,1,1099000.0
carini  carini,1,525000.0
cohen and cohen consulting,1,469888.0
coleman real estate team,1,285000.0
comfort homes,1,299000.0
commerce,1,575000.0
community home sales inc,1,385000.0
real estate trade co inc,1,2500000.0
real new york chelsea,1,575000.0
real street inc,1,1499000.0
century 21 dawn s gold,1,979000.0
century 21 dawns gold,1,699999.0
c r real estate  ny,1,790000.0
call it home,1,699000.0
campione,1,1450000.0
reserve,1,32000000.0
resource,1,275000.0
richard greco real estate,1,779000.0
richmond homes real estate inc,1,1400000.0
richmont,1,1090000.0
rising star and property management inc,1,735000.0
realty quest new york inc,1,215000.0
regent,1,999000.0
bo s prime,1,239000.0
century 21 papp,1,880000.0
century 21 royal,1,1499000.0
century 21 sahara,1,850000.0
century 21 zaloom,1,699900.0
century 21 future homes,1,190000.0
century 21 marciano,1,1299000.0
reony com ltd,1,329900.0
botton,1,998000.0
brai braithwaite,1,2150000.0
braithwaite,1,850000.0
brick mortar,1,1995000.0
blooming,1,678990.0
blue key real estate brokerage,1,11000000.0
blueprint equities,1,980000.0
bmb living inc,1,410000.0
roz khan,1,625000.0
rubirosa,1,1900000.0
rumic inc,1,859000.0
russo,1,1265000.0
s h v real estate corp,1,849000.0
s sharf inc,1,1699999.0
rk capital,1,568000.0
brown harris stvns forest hill,1,695000.0
soler,1,805000.0
shares of new york marketing,1,729888.0
shaw,1,489000.0
silver,1,799000.0
silversons,1,1296000.0
simplon enterprises inc,1,560000.0
sari kingsley real estate,1,899000.0
scope bx,1,829000.0
bellmarc,1,795000.0
buy for less,1,345000.0
buy rite home sales inc,1,899999.0
buzz,1,350000.0
c j robin s real estate,1,320000.0
broadway,1,2300000.0
brooklyn bound corp,1,2295000.0
brooklyn rential real estate services,1,897000.0
best find,1,219000.0
best service corp,1,365000.0
ben bay rlty co of ave u,1,299000.0
ben bay rlty of marine pk,1,259000.0
baring homes corp,1,789000.0
bayview marketing,1,530000.0
belle harbor,1,349000.0
belle maison inc,1,1150000.0
renken,1,1200000.0
reo first choice,1,749000.0
space marketing shop inc,1,1500000.0
spiegel,1,899999.0
sky port homes,1,450000.0
skylux,1,1388000.0
slate,1,399999.0
sloane square,1,1200000.0
virginia rallis,1,130000.0
vismith,1,749000.0
american dream homes inc,1,475000.0
alta real estate,1,1650000.0
vylla homes,1,551000.0
wagner kelly inc,1,1273000.0
wallace enrique,1,500000.0
axe nyc,1,680000.0
anita loewy,1,2795000.0
venezia,1,370000.0
bah,1,460000.0
tri state han mi inc,1,699000.0
welcome home network,1,859000.0
welcome home r e sunny,1,375000.0
american dream kalaba,1,3200000.0
werba,1,1245000.0
velez corp,1,899000.0
aliano real estate,1,3000000.0
turfnyc,1,2300000.0
tworealestate,1,257000.0
tyme corp,1,1100000.0
ubiq ny ltd,1,1990000.0
1 oak real estate hub inc,1,1200000.0
world prop intl sea to sky,1,399990.0
sysak sells,1,735000.0
staten island homes corp,1,1199000.0
station cities,1,999000.0
stone hill real estate,1,850000.0
stonegate real estate,1,1049000.0
strictly,1,1600000.0
usrealty com,1,479000.0
vantage partners,1,681000.0
holly s staten island buzz inc,1,1338000.0
home source inc,1,845000.0
home sweet homes real prop inc,1,850000.0
homelink homes,1,799999.0
heisman,1,539000.0
herman co new york,1,639000.0
highline rential,1,600000.0
highlite homes,1,536000.0
your home sold guaranteed,1,1150000.0
your home sold guaranteed advisor,1,164999.0
wiesner rocio d,1,625000.0
william raveis new york city,1,1395000.0
william raveis real estate yorktown heights,1,289999.0
a j of queens inc,1,899000.0
horowitz real estate,1,305000.0
hollingsworth real estate grou,1,1290000.0
true north luxury homes,1,879000.0
trusted property advisors corp,1,1474000.0
tudo tudor services,1,299000.0
toscana property,1,2500000.0
tree of life management,1,2759000.0
all century,1,765000.0
wrl,1,379000.0
yaos,1,1080000.0
azbel real estate inc,1,475000.0
all going,1,1475000.0
arc,1,1249000.0
argo argo rential,1,568000.0
aschan,1,649999.0
asimina perikleous,1,705000.0
unimax co inc,1,998000.0
true homes inc,1,1300000.0
